id	name	followers	popularity	genres
4xXCRXOfQKQ2gjWxNhNzYW	Air Supply	2592190	72	['adult standards', 'mellow gold', 'soft rock']
7kjwuPH9RX2FaR1R0Tde4W	ARTEMIS	3181	33	['contemporary post-bop']
4WQwU51LUtrVrw0K8BMpAC	Jaguar Sun	12243	48	['ontario indie']
33rjua7RFjy9GwqKWnbnGJ	The Dubs	9040	35	['doo-wop', 'rhythm and blues']
4Aj5BsUYgadIeoC759FrhE	Mass Production	38962	31	['classic soul', 'funk', 'post-disco', 'quiet storm']
34BqjxKhJHCPhOJNfeGhDC	Curly Purples	6	43	['instrumental lullaby']
7fPSTBoGnZDdi3uSsMZtLW	Andreas Martin Hofmeir	843	8	['classical tuba']
39R87tT1qaTxHwu5m87USa	EXES	99261	49	['alt z', 'electropop', 'indie cafe pop', 'indie electropop', 'indie pop', 'indie poptimism', 'la pop', 'vapor soul']
2IBQ89hctobfISPgSZcL9O	Claude Saturne	4	0	[]
0I7HgbIetYEIweWq7nD6En	Notaker	28032	46	['complextro', 'edm', 'electro house', 'future bass', 'gaming edm']
7oPxPZSk7y5q0fhzpmX5Gi	SEB	51643	69	[]
5lYOBorQmZgCCPxJYCjSmO	Xentrix	14416	29	['old school thrash', 'thrash metal']
3WLh1Qe8WgEBbb2QJWYYal	Karol Szymanowski	5608	34	['early modern classical', 'impressionism', 'polish classical']
5HL0VTY0iLTz0RcoeI4cmY	Lil Mexico	7082	39	['south carolina hip hop']
4Jz9DfT6REYvKZbSFc9Q7J	Rudy Adrian	4901	38	['ambient', 'drift']
03gMsWBnlCYwx7ivVnO0WG	Joscho Stephan	15095	37	['gypsy jazz', 'jazz guitar']
4eYjWapog2qNOYRnqBvGXP	Meja	12340	45	[]
320EPCSEezHt1rtbfwH6Ck	The Monkees	841540	67	['beatlesque', 'brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'sunshine pop']
3Bv5btxNbwbt79fcjw9DAg	Ulcerate	30950	34	['brutal death metal', 'death metal', 'dissonant death metal', 'nz metal', 'post-doom metal', 'post-metal', 'progressive death metal', 'technical black metal', 'technical brutal death metal', 'technical death metal', 'voidgaze', 'voidgrind']
6ccc2jvU6SYt0OyInCkIbG	Paul Robeson	13748	32	['classical bass', 'harlem renaissance', 'spirituals']
1UmSNiqXtkwAXtzdejWypd	N.F.I	795	53	[]
3dPuXCO7uQLHphYgFzUXCJ	808 Delavega	184	39	[]
0Fb9qTWnjsB90xH3zWr4oa	Kareen Lomax	6988	62	[]
5xWPOujQqd4wXyB08slZ9Z	Peter Cetera	594182	64	['adult standards', 'mellow gold', 'new wave pop', 'soft rock']
15GGbJKqC6w0VYyAJtjej6	Fatman Scoop	34457	64	['nyc rap']
4ZMaiDLfxDaoG7ULXgcnDb	Steve Stevens	18491	46	['glam metal', 'neo classical metal']
6mpxgK8EZh8VDoe6trGF0f	NAATIONS	3830	52	['la pop']
3u45rXhQ0o9pUL24xlnf6e	Chester Young	7457	52	['future house', 'pop edm', 'russian edm']
3iul5MO9XpmV7E2G9uVoER	Tythe	377	5	[]
0pfVDTchnVMBTzGylIuJNa	Lee Juck	43139	43	['k-indie', 'k-rock', 'korean pop']
6blxY1iqiaDxSkZ1OGPUZ7	Geoffrey Keezer	1199	21	['modern jazz piano']
2T56ZlaXC3o801bzHwzJg1	Misstiq	8399	34	[]
63ELR8SMfqu8EH9eXqCt9j	Slump6s	41883	66	[]
0k6bekZzPKdDnAcDbRqYgO	Lukas Holsen	37	36	[]
1TmK328skdt3V82QoLLT13	Ross Ainslie and Jarlath Henderson	929	16	['jig and reel']
7etzKNDxaZ1LefgbGrexsN	Wyvern Lingo	17281	42	['irish pop']
6LnJKrtFnTEGdbWQ2riWCL	Ezhel	3921899	79	['turkish hip hop', 'turkish trap']
2wkoKEfS6dXwThbyTnZWFU	Mau y Ricky	3596657	78	['latin', 'latin pop', 'pop venezolano', 'reggaeton', 'trap latino']
2tpf2l5fNdbYcaENmFnmhg	Seamus Egan	120	17	[]
