playlist_id	playlist_name	playlist_description	playlist_num_tracks	playlist_num_followers
4mM7tVGeVv4dOFPTlftofk	Getaway Rock 2012	Getaway Rock Festival är efter två år etablerad som en av Sveriges bästa och viktigaste rockfestivaler. Sommarens upplaga arrangeras 5 - 7 juli i Gävle. Hitta spellistor för alla tillfällen på <a href="spottily:app:tunigo">Tunigo</a>.	71	32
7DcfXNVB5WpzYwCkqBaVDx	Peace & Love 2012	Peace & Love 2012 arrangeras 26 - 30 juni i Borlänge. Temat för sommarens festival är "En ny värld". Hitta spellistor för alla tillfällen på <a href="spottily:app:tunigo">Tunigo</a>.	159	73
33eWAE7F4bBUAjGtJVtCYB	Sveriges Nationaldag	För att fira de blå/gula färgerna har vi grävt djupt i den svenska låtskatten och sammanställt en spellista med 40 älskade klassiker. Hitta spellistor för alla tillfällen på <a href="spotify:app:tunigo">Tunigo</a>	41	885
37i9dQZF1DWX6s7PHJnk94	Dans runt stången	Spellistan att ta fram när det är dags för dans runt midsommarstången.	25	5332
3ukqAcaahACMyRzpkwHXew	New year's eve by Icona Pop		16	21
37i9dQZF1DX1ZrmwZWFpDG	New Year's Dance Floor	Let's end the year with a bang. These are the ultimate floorfillers for your New Year's party!	38	3446
5zyeLrOc31CPX7uk9xNL7y	Swing in the New Year	Ring in the new year to the sweet sound of jazz and blues.	20	4526
214Nwj78JwTfjSeQxbGxeX	Alternative New Year's Eve	A different option for your New Year's Eve party. Sweet pop, rock, and singer/songwriter tunes about this special holiday.	28	440
37i9dQZF1DWW6FKfbzAFjW	Cinco de Mayo	Feel-good tunes for your Cinco de Mayo. ¡Salud!	42	34919
37i9dQZF1DX50QitC6Oqtn	Love Pop	Because we all deserve great pop love songs in one playlist.	100	3388184
37i9dQZF1DX561TxkFttR4	88 Keys	A song for every key on the piano.	99	289463
3yUO32lGCEnAfFGORSEsy4	Raw Expression	Brukout edition: It's a raw and sexy dancehall party!	42	307
37i9dQZF1DXbwoaqxaoAVr	Sunshine Reggae	Pop style reggae for a sunny vibe!	70	540846
37i9dQZF1DX3ohNxI5tB79	Morning Rhythm	Start your morning right with this collection of funky, soulful, jazzy tunes!	77	251628
37i9dQZF1DX44dZ4p5QLf4	Next Wave Neo-Soul	A blend of new songs and new artists in the neo-soul space. Cover: Jerome Thomas	134	384129
